brand,sell_type,price,name,discount_price
AMATO 9to5,一口价,49,新品 AMATO 9to5劲亮柔滑眼线笔,69
迪奥（Dior）,一口价,399,Dior迪奥FOREVER凝脂恒久长效保湿粉底液SPF25,459
古琦/Gucci,一口价,349,古驰Gucci 竹韵魅力女士淡香精 木质花香调,349
理肤泉/Laroche Posay,一口价,89,理肤泉舒缓调理喷雾300ml,109
施华蔻 /Schwarzkopf,一口价,89,新品 施华蔻斐丝丽泡泡染发乳 奶茶栗棕焦糖咖棕樱桃丽棕奶油浅咖,109
爱敬,一口价,179,Aekyung AGE 20’ 爱敬 爱纪二十之 气垫bb水粉霜黑金限量套盒水光粉底,299
菲奥娜（iFiona）,一口价,89,新品  菲奥娜浮光幻影珍藏版化妆刷6件套装,89
COCOVEL/蔻露薇,一口价,79,新品 cocovel水润蛋白洗发洗护洗沐 750ml 柔雅迷漾洗沐 380ml 2瓶装可选,89
可思美,一口价,879,新品  CosBeauty可思美IPL光子脱毛仪,879
莱珀妮,一口价,2299,莱珀妮鱼子精华琼贵面霜50ml,2499
水密码,一口价,159,水密码海泉深透美肌礼盒（洁面乳+细肤水+精华乳）,189
森田药妆（DR.Morita）,一口价,109,新品 森田祛 斑修护保湿面膜,148
科颜氏/Kiehls,一口价,159,新品 科颜氏高保湿洁面啫喱150ML洗面奶 洁面乳 补水保湿,180
SOS,一口价,79,德国SOS脚部除味喷雾 250ml,99
欧莱雅,一口价,89,欧莱雅男士劲能醒肤露50ml,140
PITTA,一口价,79,日本pitta mask口罩 黑灰色3只 2袋装,198
狮王,一口价,59,日本lion狮王 面包超人幼儿护齿牙膏 蜜瓜味 草莓味 可选 4支装,80
森田药妆（DR.Morita）,一口价,109,森田玻尿酸复合原液面膜15片装,159
自然乐园,一口价,78,韩国自然乐园芦荟胶2罐装 舒缓保湿 防晒 晒后修复,104
黑人,一口价,49.9,黑人极尚超白牙膏 果漾薄荷 沁爽薄荷 120g,117
雅顿/ElizabethArden,一口价,89,伊丽莎白雅顿ElizabethArden 绿茶女士香水  第五大道女士淡香精,99
丹麦·安徒生,一口价,129,安徒生沐浴啫喱套装升级款 300ml 玫瑰 芍药 樱花 3瓶装 送泵头,208
P&S,一口价,59,P＆S温泉舒缓净透卸妆水,69
薇诺娜,一口价,159,新品 薇诺娜悦享安肤舒敏套组,242
库米,一口价,69,库米智能声波电动牙刷  5档模式  智能定时,69
阿芙,一口价,109,阿芙补水双效精油面膜套组（檀香12片+天竺葵12片）,298
相宜本草,一口价,188,相宜本草红景天幼白礼盒（水+乳+隔离防护乳+小样X2）,238
植美村,一口价,45,植美村蜂蜜去角质啫喱130ml一支,78
可思美,一口价,3699,CosBeauty可思美悦致焕颜射频活肤仪,3700
luna,一口价,1019,Luna露娜mini2硅胶净透充电洁面仪 玫红色  粉红色,1019
奔腾,一口价,119,Povos奔腾负离子防静电按摩梳pw215,119
化妆品1,一口价,139,P＆S倾慕盈润唇膏（口红）,199
化妆品1,一口价,39,韩束蜗牛抚纹紧致修颜霜（BB霜）40ml,99
舒客,一口价,49,舒客白牙素牙膏 脱渍型 闪耀型 各1盒（120克2支装）护龈变色牙刷 1组,216
素野,一口价,159,素野樱花舒润空气感两部曲面膜,189
薇新,一口价,169,品制500认证 WellSkins薇新离子振动温热美眼仪,189
AHC,一口价,79,AHC 第六代 B5玻尿酸眼霜 去眼袋细纹黑眼圈紧致保湿 30ml,99
Mistine,一口价,69,泰国Mistine羽翼粉饼 10g 象牙白自然白 两色可选,169
素野,一口价,99,素野稻米均衡洁面慕丝  130ml,139
YU.R,一口价,89,韩国YU.R 巧克力鼻贴 优雅毛孔护理套装 （黑头软化贴10片+鼻膜30ml）,159
DAISO/大创,一口价,39,新品 DAISO大创 双眼皮贴86枚  纤细型,39
高姿,一口价,159,高姿匀净明星三件套（洁面+水+乳）,494
贝医生,一口价,59,新品 贝医生0+漱口水（蜂胶青竹）30条装,99
